player_id,player_name,club_team,intl_team,club_minutes,intl_minutes,club_n_contexts,intl_n_contexts,club_per90_vaep,intl_per90_vaep,delta_per90_vaep,club_joi_top5_sum,intl_joi_top5_sum,delta_joi_top5_sum,club_centrality_eigen,intl_centrality_eigen,delta_centrality_eigen,club_embeddedness,intl_embeddedness,delta_embeddedness,career_familiarity_with_intl_squadmates
3501,Philippe Coutinho Correia,Barcelona,Brazil,3604.1166666666663,438.55,3,1,0.24323868008070362,0.5265734303583826,0.28333475027767896,0.5049727470053974,0.2661612038259346,-0.2388115431794628,0.18491153254203485,0.45251705267089537,0.2676055201288605,2.306859476269531,0.10355833827413126,-2.2033011379953997,5142.0
5199,Jorge Resurrección Merodio,Atlético Madrid,Spain,540.0,681.6,3,2,0.07968449779821095,-0.001223811328031647,-0.0809083091262426,0.03977200714296721,0.058338682938868035,0.018566675795900822,0.48817138844900854,0.268365575797647,-0.2198058126513615,0.15311585213897017,0.8382650917773673,0.6851492396383971,8186.0
5201,Sergio Ramos García,Paris Saint-Germain,Spain,3316.7333333333336,360.0,4,1,0.046427469318547535,-0.0549989202895573,-0.10142638960810484,0.1054191802537202,0.07887605663979094,-0.026543123613929256,0.30396946764478816,0.4664771225340166,0.16250765488922841,1.9767554807737004,0.4963889308553929,-1.4803665499183076,4077.0
5203,Sergio Busquets i Burgos,Barcelona,Spain,9927.75,1060.0166666666667,5,3,0.12368019737126502,-0.06941086869038245,-0.19309106606164747,0.10770677307891749,0.12070704375224016,0.01300027067332267,0.371634652692003,0.2516099226314175,-0.1200247300605855,2.8051817623246422,0.20404108513849964,-2.6011406771861427,32880.0
5211,Jordi Alba Ramos,Barcelona,Spain,10400.616666666669,1086.5666666666666,5,3,0.18885989726413044,0.24794286494172219,0.05908296767759175,0.2978320657066879,0.22889667346088605,-0.06893539224580186,0.32308142013242896,0.3880163692386831,0.06493494910625414,3.091110646737822,0.14226345547769798,-2.948847191260124,33094.0
5213,Gerard Piqué Bernabéu,Barcelona,Spain,9577.9,360.0,4,1,0.11922284773265304,-0.3090837770864652,-0.4283066248191182,0.09777047006777112,0.0679496931077047,-0.029820776960066422,0.2997278628048504,0.27239967196912024,-0.02732819083573018,2.020739486591305,0.29329849809743747,-1.7274409884938673,21734.0
5216,Andrés Iniesta Luján,Barcelona,Spain,1775.8,253.16666666666666,1,1,0.2675077182536156,-0.05868908281639575,-0.3261968010700113,0.1679735137867959,0.025199524635446727,-0.14277398915134917,0.2820955676404962,0.323169293426923,0.04107372578642682,5.647757561887953,0.47448903063448866,-5.1732685312534645,7769.0
5246,Luis Alberto Suárez Díaz,Barcelona,Uruguay,7215.616666666667,450.0,3,1,0.39826708237112235,0.23896427098079584,-0.1593028113903265,0.8337580593532259,0.35727562794992823,-0.47648243140329766,0.16106052790410805,0.21311389758439003,0.052053369680281986,2.5987366247630073,0.7518435943508301,-1.8468930304121771,5043.0
5249,Diego Roberto Godín Leal,Atlético Madrid,Uruguay,180.0,450.0,1,1,0.0020105136500205845,0.1628312385379104,0.16082072488788982,-0.008072982609812773,0.22666921580441962,0.23474219841423238,0.25501085205415863,0.3517772860064012,0.09676643395224255,0.01687522894188369,0.6611681720615668,0.6442929431196831,5428.0
5463,Luka Modrić,Real Madrid,Croatia,180.0,1917.4833333333331,1,4,0.26456200112443184,0.10439597561998938,-0.16016602550444248,0.06715564818521787,0.1972252368290831,0.13006958864386525,0.40445081921851733,0.43041051945491227,0.025959700236394934,0.5963104170409498,0.08032551693172985,-0.5159849001092199,20188.0
